epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc
1,0.9202704429626465,0.8265554396941258,0.08031939877876937,0.046191247974068074,0.058652032241468026,0.42358768125125,0.09813149654715377,0.7179036140441895,0.6138307283987025,0.10651142733937041,0.3110831234256927,0.15868936716993254,0.4650099948006845,0.11154084890201112
2,0.7756504416465759,0.6186368376149398,0.10573932711337292,0.30307941653160453,0.15678054915112136,0.4611642176657301,0.10921460638099081,0.7081794738769531,0.19492774992627543,0.11766633890527696,0.9042821158690176,0.20823665893271465,0.5587076756367478,0.14370022369172095
3,0.7301605343818665,0.4408000758365722,0.12169541006649727,0.6080497028633172,0.20280192801477542,0.5277967865218001,0.13299089324687755,0.7221368551254272,0.13240931878501916,0.11809723889555822,0.9911838790931989,0.2110485384821668,0.6239929481128503,0.17076085017074027
4,0.7454676628112793,0.2951306600941637,0.11954521287472905,0.7895732036736899,0.20765104962170994,0.533259550601006,0.13329879539798273,0.7140332460403442,0.1456797404895311,0.12006079027355623,0.9949622166246851,0.2142663411988066,0.6576782868844322,0.19088147347425638
5,0.7218210101127625,0.3061585616330142,0.1254411161263849,0.8257698541329012,0.21779709318894272,0.573853987326924,0.1511218792178441,0.6917659640312195,0.22972574461810674,0.12935073627844712,0.9735516372795969,0.22836041358936482,0.6778628625849517,0.20745472851604896
6,0.7029775977134705,0.3542199892564856,0.1345591125474953,0.8322528363047001,0.23166284446783714,0.6145822198984481,0.1690905098306068,0.6665210723876953,0.34090238867590683,0.141994546162836,0.9181360201511335,0.24595141700404857,0.6926568291915485,0.22307553757534704
7,0.6893904209136963,0.4060732454893039,0.138519015231344,0.7811993517017828,0.235313262815297,0.6108410303522229,0.1667371055718827,0.647231936454773,0.44603361840165145,0.15871918912692928,0.8677581863979849,0.2683544303797468,0.704467604394347,0.2371950888028176
8,0.6629199981689453,0.5555976869845483,0.1599501181412444,0.6582928146947596,0.2573661421480621,0.6429404772572195,0.1861320143006694,0.6365864872932434,0.5606015924506046,0.17928403755868544,0.7695214105793451,0.29081389814374103,0.7136636833700988,0.249245840249253
9,0.6611051559448242,0.6167725218820109,0.1701894473148583,0.5872501350621285,0.26389900461277005,0.6457321092340158,0.1942014408012,0.6322630643844604,0.6655853730462991,0.2047275641025641,0.6435768261964736,0.31063829787234043,0.7202526379375038,0.25931174495080406
10,0.6529615521430969,0.6867001611527159,0.18857142857142858,0.5081037277147488,0.2750603202456679,0.6634380510687089,0.20670508980252317,0.6307121515274048,0.7281038041875553,0.22993827160493827,0.5629722921914357,0.32651570489408327,0.7253537301302858,0.2684019295475722
