experiment,hidden_dim,dropout,learning_rate,weight_decay,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,training_seconds
128_lr05_dropout20,128,0.2,0.0005,0.0001,140,0.9680323600769043,0.8124447065762312,0.3356258596973865,0.6146095717884131,0.43416370106761565,0.7928735304361872,0.45642100332519464,427.4698061943054
128_lr07_dropout30,128,0.3,0.0007,0.0001,141,0.9593047499656677,0.8018283692126217,0.3241687979539642,0.6385390428211587,0.4300254452926209,0.7951131061451198,0.45579119788250766,216.3879828453064
128_lr05_dropout30,128,0.3,0.0005,0.0001,142,0.9556650519371033,0.7826599823061043,0.302784222737819,0.6574307304785895,0.414614773629865,0.7945617305139246,0.4548553304777039,192.37581062316895
128_lr05_dropout40,128,0.4,0.0005,0.0001,150,0.9541668891906738,0.7985844883515187,0.31760204081632654,0.6272040302267002,0.42167654530059273,0.7958991029918779,0.45461577342646964,194.92473030090332
128_lr03_dropout30,128,0.3,0.0003,0.0001,150,0.9602878093719482,0.7906222353288116,0.3100728155339806,0.6435768261964736,0.41850941850941853,0.7925064023933679,0.44983097945849243,204.26932859420776
128_lr03_dropout40,128,0.4,0.0003,0.0001,150,0.9638679623603821,0.7835446770864052,0.3042973286875726,0.6599496221662469,0.41653418124006364,0.7918077969541097,0.44793691734106145,183.16665315628052
