experiment,hidden_dim,dropout,learning_rate,weight_decay,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,training_seconds
larger_hidden_lower_lr,128,0.3,0.0005,0.0001,142,0.9556650519371033,0.7826599823061043,0.302784222737819,0.6574307304785895,0.414614773629865,0.7945617305139246,0.4548553304777039,208.50763487815857
baseline_reproduction,64,0.3,0.001,0.0001,138,0.9500613808631897,0.804482453553524,0.327720207253886,0.6372795969773299,0.4328485885372113,0.7971810539635106,0.4538022117693662,140.01730680465698
larger_hidden,128,0.3,0.001,0.0001,97,0.9560915231704712,0.7912120318490121,0.3133253301320528,0.6574307304785895,0.42439024390243907,0.7950350743468465,0.4537431583568296,161.88640189170837
higher_dropout,64,0.5,0.001,0.0001,145,0.952015221118927,0.809938071365379,0.3331085637221848,0.6221662468513854,0.4339042599912165,0.7967177007247073,0.4510299865532465,125.28967809677124
lower_learning_rate,64,0.3,0.0005,0.0001,150,0.9568960666656494,0.8068416396343262,0.3304862023653088,0.6335012594458438,0.43436960276338515,0.7940271811465079,0.44781009070595934,436.0036995410919
lower_lr_higher_dropout,64,0.5,0.0005,0.0001,150,0.9649593234062195,0.801091123562371,0.32131358660656795,0.628463476070529,0.42522368981678743,0.7914581261599606,0.44245885019896736,124.07472920417786
NOTEBOOK_05_BASELINE,64,0.3,0.001,0.0001,1,0.7179036140441895,0.6138307283987025,0.1065114273393704,0.3110831234256927,0.1586893671699325,0.4650099948006845,0.1115408489020111,
