case,source,relation,target,mean_edge_importance,max_edge_importance,edge_count
TP,customer,has_job,job,0.013830281794071198,0.28111687302589417,45211
TP,job,rev_has_job,customer,4.6470086090266705e-06,0.21009591221809387,45211
TP,customer,has_education,education,0.14214028418064117,0.28278258442878723,45211
TP,education,rev_has_education,customer,1.7490649042883888e-05,0.7907696962356567,45211
TP,customer,has_marital_status,marital,0.1660918891429901,0.28180450201034546,45211
TP,marital,rev_has_marital_status,customer,1.7505284631624818e-05,0.7914314270019531,45211
TP,customer,contacted_via,contact,0.18028657138347626,0.2832637131214142,45211
TP,contact,rev_contacted_via,customer,1.7421982192900032e-05,0.7876652479171753,45211
TP,customer,campaign_month,month,0.003445378504693508,0.2734515964984894,45211
TP,month,rev_campaign_month,customer,1.7426609701942652e-05,0.7878744602203369,45211
FP,customer,has_job,job,0.025476522743701935,0.2816939651966095,45211
FP,job,rev_has_job,customer,1.7475904314778745e-05,0.7901030778884888,45211
FP,customer,has_education,education,0.14196759462356567,0.28181952238082886,45211
FP,education,rev_has_education,customer,1.750669616740197e-05,0.7914952039718628,45211
FP,customer,has_marital_status,marital,0.16611748933792114,0.28168773651123047,45211
FP,marital,rev_has_marital_status,customer,1.7529177057440393e-05,0.7925116419792175,45211
FP,customer,contacted_via,contact,0.1801147758960724,0.28356829285621643,45211
FP,contact,rev_contacted_via,customer,1.7486001524957828e-05,0.7905595898628235,45211
FP,customer,campaign_month,month,0.03814813122153282,0.2821926474571228,45211
FP,month,rev_campaign_month,customer,1.748865906847641e-05,0.7906797528266907,45211
FN,customer,has_job,job,0.001665450748987496,0.2642984092235565,45211
FN,job,rev_has_job,customer,1.7422004020772874e-05,0.7876662015914917,45211
FN,customer,has_education,education,0.042033493518829346,0.28210824728012085,45211
FN,education,rev_has_education,customer,1.7500578906037845e-05,0.7912186980247498,45211
FN,customer,has_marital_status,marital,0.16738413274288177,0.28361284732818604,45211
FN,marital,rev_has_marital_status,customer,1.7435348127037287e-05,0.7882695198059082,45211
FN,customer,contacted_via,contact,0.08009956032037735,0.28297173976898193,45211
FN,contact,rev_contacted_via,customer,1.7446418496547267e-05,0.7887700200080872,45211
FN,customer,campaign_month,month,0.08458223193883896,0.2830144464969635,45211
FN,month,rev_campaign_month,customer,1.7487078366684727e-05,0.790608286857605,45211
